"No.","Time","Source","Destination","Protocol","Length","Info"
"236","11.798991","2.4.2","host","USB","36","URB_INTERRUPT in"
"237","11.799008","host","2.4.2","USB","27","URB_INTERRUPT in"
"238","12.026002","2.2.1","host","USBMS","63","[SCSI transfer limited due to allocation_length too small]"
"239","12.026019","host","2.2.1","USB","27","URB_BULK in"
"240","12.026047","2.2.1","host","USBMS","40",""
"241","12.026067","host","2.2.2","USBMS","58","SCSI Command: 0x23 LUN:0x00 "
"242","12.026093","2.2.2","host","USB","27","URB_BULK out"
"243","12.026095","host","2.2.1","USB","27","URB_BULK in"
"244","12.026236","2.2.1","host","USBMS","47",""
"245","12.026238","host","2.2.1","USB","27","URB_BULK in"
"246","12.026300","2.2.1","host","USB","27","URB_BULK in"
"247","12.026310","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"248","12.026571","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"249","12.026574","host","2.2.1","USB","27","URB_BULK in"
"250","12.030666","2.2.1","host","USBMS","40",""
"251","12.030690","host","2.2.2","USBMS","58","SCSI Inquiry LUN: 0x00  Unit Serial Number Page "
"252","12.030738","2.2.2","host","USB","27","URB_BULK out"
"253","12.030739","host","2.2.1","USB","27","URB_BULK in"
"254","12.030948","2.2.1","host","USBMS","63",""
"255","12.030949","host","2.2.1","USB","27","URB_BULK in"
"256","12.030995","2.2.1","host","USB","27","URB_BULK in"
"257","12.031004","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"258","12.031188","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"259","12.031191","host","2.2.1","USB","27","URB_BULK in"
"260","12.031210","2.2.1","host","USBMS","40",""
"261","12.034379","host","2.2.2","USBMS","58","SCSI Read Capacity(10) LUN: 0x00 "
"262","12.034413","2.2.2","host","USB","27","URB_BULK out"
"263","12.034414","host","2.2.1","USB","27","URB_BULK in"
"264","12.034640","2.2.1","host","USBMS","35",""
"265","12.034642","host","2.2.1","USB","27","URB_BULK in"
"266","12.034689","2.2.1","host","USBMS","40",""
"267","12.034768","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"268","12.034788","2.2.2","host","USB","27","URB_BULK out"
"269","12.034789","host","2.2.1","USB","27","URB_BULK in"
"270","12.034943","2.2.1","host","USBMS","43",""
"271","12.034944","host","2.2.1","USB","27","URB_BULK in"
"272","12.034995","2.2.1","host","USB","27","URB_BULK in"
"273","12.035006","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"274","12.035193","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"275","12.035195","host","2.2.1","USB","27","URB_BULK in"
"276","12.035213","2.2.1","host","USBMS","40",""
"277","12.035442","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"278","12.035460","2.2.2","host","USB","27","URB_BULK out"
"279","12.035462","host","2.2.1","USB","27","URB_BULK in"
"280","12.035668","2.2.1","host","USBMS","47",""
"281","12.035669","host","2.2.1","USB","27","URB_BULK in"
"282","12.035722","2.2.1","host","USB","27","URB_BULK in"
"283","12.035729","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"284","12.036318","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"285","12.036321","host","2.2.1","USB","27","URB_BULK in"
"286","12.036337","2.2.1","host","USBMS","40",""
"287","12.036365","host","2.2.2","USBMS","58","SCSI Mode Sense(10) LUN: 0x00 "
"288","12.036389","2.2.2","host","USB","27","URB_BULK out"
"289","12.036390","host","2.2.1","USB","27","URB_BULK in"
"290","12.036669","2.2.1","host","USBMS","47",""
"291","12.036670","host","2.2.1","USB","27","URB_BULK in"
"292","12.036754","2.2.1","host","USB","27","URB_BULK in"
"293","12.036761","host","2.2.1","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"294","12.037072","2.2.1","host","USB","27","URB_FUNCTION_SYNC_RESET_PIPE_AND_CLEAR_STALL"
"295","12.037074","host","2.2.1","USB","27","URB_BULK in"
"296","12.037110","2.2.1","host","USBMS","40",""
"297","12.037130","host","2.2.2","USBMS","58","SCSI Mode Select(10) LUN: 0x00 "
"298","12.037158","2.2.2","host","USB","27","URB_BULK out"
"299","12.037160","host","2.2.2","USBMS","51",""
"300","12.037210","2.2.2","host","USB","27","URB_BULK out"
"301","12.037211","host","2.2.1","USB","27","URB_BULK in"
"302","12.037519","2.2.1","host","USBMS","40",""
"303","12.037520","host","2.2.2","USBMS","58","SCSI Request Sense LUN: 0x00 "
